           Var. Name                       x0                        x                 Gradient
        BC_CDiag(63)       0.192812261354D+00       0.190268032698D+00      -0.943750847986D-01
        BC_CDiag(64)       0.324359905890D+00       0.287747038219D+00      -0.467304828125D-01
        BC_CDiag(65)       0.446971785606D+00       0.397376057254D+00       0.460876099239D+00
        BC_CDiag(66)       0.267081281506D+00       0.286682316878D+00       0.727922222799D-01
        BC_CDiag(67)       0.364411871443D+00       0.361996722734D+00      -0.101403368472D+00
        BC_CDiag(68)       0.580636867925D+00       0.556245536919D+00      -0.466916260982D-01
        BC_CDiag(69)       0.331655927392D+00       0.298601580081D+00       0.651608165628D-01
        BC_CDiag(70)       0.258825803102D+00       0.264782338642D+00       0.407438541475D-01
        BC_CDiag(71)       0.158757538631D+00       0.169031665516D+00       0.609489699117D-02
        BC_CDiag(72)       0.161570952046D+00       0.146866848260D+00      -0.400706074468D-01
        BC_CDiag(73)       0.267621263117D+00       0.269953960093D+00      -0.166610960403D+00
        BC_CDiag(74)       0.601636852953D+00       0.628018585547D+00      -0.841462816565D-01
        BC_CDiag(75)       0.260615285461D+00       0.261831855788D+00       0.479014392628D-02
        BC_CDiag(76)       0.345603975326D+00       0.351663606454D+00      -0.493624042631D-01
        BC_CDiag(77)       0.381828970621D+00       0.372721686239D+00      -0.317297609544D-01
        BC_CDiag(78)       0.535713816802D+00       0.544157824070D+00       0.173766273169D-01
        BC_CDiag(79)       0.296946398708D+00       0.286534276954D+00      -0.457435313037D-01
        BC_CDiag(80)       0.309923320625D+00       0.298842228875D+00      -0.272398642583D-01
        BC_CDiag(81)       0.276374823363D+00       0.264760979496D+00       0.688888669563D-02
        BC_CDiag(82)       0.277748393918D+00       0.266078842831D+00       0.831711018718D-01
        BC_CDiag(83)       0.282239469610D+00       0.277475046848D+00       0.158002232126D-02
        BC_CDiag(84)       0.288317058620D+00       0.269985277733D+00      -0.157284156372D-01
        BC_CDiag(85)       0.320115141488D+00       0.347294877833D+00       0.342872082953D-01
        BC_CDiag(86)       0.292300042178D+00       0.303268168467D+00       0.199847862137D-01
     BC_COffDiag(01)       0.111359406071D+01       0.107165130624D+01      -0.292688524150D-01
     BC_COffDiag(02)       0.247776571872D+01       0.264128530141D+01      -0.216554968400D+00
     BC_COffDiag(03)       0.141524972182D+01       0.138146036816D+01       0.728543628435D-01
     BC_COffDiag(04)       0.328938923487D+00       0.316946889716D+00       0.930697259404D-02
     BC_COffDiag(05)       0.246294020435D+01       0.245838810778D+01       0.229714874853D-03
     BC_COffDiag(06)       0.100618565439D+01       0.989329886655D+00       0.604414528332D-02
     BC_COffDiag(07)       0.438229914966D+00       0.431079750627D+00      -0.319469520233D-01
     BC_COffDiag(08)       0.163004174247D+01       0.162180585889D+01       0.910557676542D-02
     BC_COffDiag(09)      -0.202349554850D+00      -0.243062154247D+00      -0.788940877744D-01
     BC_COffDiag(10)       0.962098355091D+00       0.925799270344D+00       0.305011492502D-01
     BC_COffDiag(11)       0.282609597945D+01       0.281100180218D+01      -0.417538096971D-01
     BC_COffDiag(12)       0.282057315126D+01       0.281728591440D+01       0.476393484558D-03
     BC_COffDiag(13)       0.182308498793D+01       0.182225900772D+01      -0.796080005891D-02
     BC_COffDiag(14)       0.280091997883D+00       0.252328975983D+00       0.365125524310D-01
     BC_COffDiag(15)       0.802172143406D+00       0.790241258348D+00       0.546237621324D-01
     BC_COffDiag(16)       0.109740643853D+01       0.109108758688D+01      -0.303269589289D-02
     BC_COffDiag(17)       0.252767544651D+01       0.252113572848D+01      -0.235439164858D-02
     BC_COffDiag(18)       0.588816157115D-01       0.826430340632D-01      -0.891028795155D-02
     BC_COffDiag(19)       0.182185905403D+00       0.142386716066D+00      -0.175381147174D-01
     BC_COffDiag(20)       0.503161605295D+00       0.513778415432D+00      -0.211578283640D-01
     BC_COffDiag(21)       0.203328190750D+01       0.202792308710D+01       0.197122760369D-02
     BC_COffDiag(22)       0.229256563418D+01       0.228776530955D+01       0.512887653091D-02
     BC_COffDiag(23)       0.202921495076D+01       0.202053530569D+01      -0.468851425133D-03
     BC_COffDiag(24)       0.282731216155D+01       0.280459417905D+01      -0.239416902139D-05
     BC_COffDiag(25)       0.583571402220D+00       0.573555372712D+00      -0.578881254078D-05
     BC_COffDiag(26)       0.170839577609D+01       0.170260120543D+01      -0.337036250412D-05
     BC_COffDiag(27)       0.165141955080D+01       0.164549996778D+01      -0.344301286254D-05
     BC_COffDiag(28)       0.552091189559D+00       0.541860998712D+00      -0.590784832105D-05
     BC_COffDiag(29)       0.130460101284D+01       0.129778438831D+01      -0.396426101662D-05
     BC_COffDiag(30)       0.676637843179D+00       0.667202569987D+00      -0.546362473351D-05
     BC_COffDiag(31)       0.253027185636D+01       0.252582800781D+01      -0.258354314798D-05
     BC_COffDiag(32)       0.132045098097D+01       0.131368134193D+01      -0.393676796130D-05
     BC_COffDiag(33)       0.176223201446D+01       0.175655076430D+01      -0.330433610423D-05
     BC_COffDiag(34)       0.771841251435D+00       0.762930876892D+00      -0.516680147083D-05
     BC_COffDiag(35)       0.181998074308D+01       0.181441617401D+01      -0.323652818747D-05
     BC_COffDiag(36)       0.879036149489D+00       0.870648142300D+00      -0.486943584411D-05
     BC_COffDiag(37)       0.217896191037D+01       0.217402674539D+01      -0.286969554688D-05
     BC_COffDiag(38)       0.227329506289D+01       0.226850223332D+01      -0.278678167616D-05
     BC_COffDiag(39)       0.244726410319D+01       0.244271323961D+01      -0.264583219352D-05
     BC_COffDiag(40)       0.158166696286D+01       0.157558670943D+01      -0.353665174791D-05
     BC_COffDiag(41)       0.504369860255D+00       0.493795563586D+00      -0.609776185295D-05
     BC_COffDiag(42)       0.824091958854D+00       0.815444446895D+00      -0.501757506606D-05
     BC_COffDiag(43)       0.278221271780D+01       0.277806483637D+01      -0.241090469560D-05
     BC_COffDiag(44)       0.732510989985D+00       0.723391405410D+00      -0.528555549478D-05
     BC_COffDiag(45)       0.282626574852D+01       0.281958013062D+01      -0.238474635838D-05
     BC_COffDiag(46)       0.174529101341D+01       0.173957458595D+01      -0.332485268907D-05
     BC_COffDiag(47)       0.275971281067D+01       0.275554011552D+01      -0.242544114621D-05
     BC_COffDiag(48)       0.415463083428D+00       0.404175858672D+00      -0.648690950600D-05
     BC_COffDiag(49)       0.151334336971D+01       0.150709693144D+01      -0.363320998462D-05
     BC_COffDiag(50)       0.490648728537D+00       0.479970823514D+00      -0.615485181944D-05
     BC_COffDiag(51)       0.255109163229D+01       0.254667383518D+01      -0.256820969607D-05
     BC_COffDiag(52)       0.199106789625D+00       0.185539960126D+00      -0.768301587627D-05
     BC_COffDiag(53)       0.250989372986D+01       0.250542407859D+01      -0.259845363209D-05
     BC_COffDiag(54)       0.263238872283D+01       0.262806979451D+01      -0.251062255238D-05
     BC_COffDiag(55)       0.271945856210D+01       0.271524071915D+01      -0.245170277197D-05
     BC_COffDiag(56)       0.558625215892D+00       0.548440283605D+00      -0.588268417771D-05
     BC_COffDiag(57)       0.139937210706D+01       0.139282694820D+01      -0.380682145028D-05
     BC_COffDiag(58)       0.992969350035D+00       0.985071070432D+00      -0.458861646956D-05
     BC_COffDiag(59)       0.240855378432D+01       0.240395122335D+01      -0.267611126705D-05
     BC_COffDiag(60)       0.154037401249D+01       0.153419441157D+01      -0.359434212471D-05
     BC_COffDiag(61)       0.278261014834D+01       0.277846269922D+01      -0.241074797986D-05
     BC_COffDiag(62)       0.749115797007D+00       0.740085781371D+00      -0.523462577872D-05
     BC_COffDiag(63)       0.944461755513D+00       0.936362403324D+00      -0.470401713717D-05
     BC_COffDiag(64)       0.541852636848D+00       0.531550669913D+00      -0.594735917522D-05
     BC_COffDiag(65)       0.636710088584D+00       0.627034641251D+00      -0.559833312585D-05
     BC_COffDiag(66)       0.267323105030D+01       0.266896013921D+01      -0.248270705927D-05
     BC_COffDiag(67)       0.179400338992D+01       0.178838693310D+01      -0.326663774751D-05
     BC_COffDiag(68)       0.169354046405D+01       0.168771381712D+01      -0.338904893310D-05
     BC_COffDiag(69)       0.311010329905D+00       0.298737587243D+00      -0.701368572677D-05
     BC_COffDiag(70)       0.272990502568D+01       0.272569899138D+01      -0.244486780695D-05
     BC_COffDiag(71)       0.195740388371D+01       0.195209846665D+01      -0.308552097046D-05
     BC_COffDiag(72)       0.127722262850D+01       0.127032325280D+01      -0.401225368237D-05
     BC_COffDiag(73)       0.176094482122D+01       0.175526091119D+01      -0.330589458708D-05
     BC_COffDiag(74)       0.146762660588D+01       0.146126373026D+01      -0.370087992214D-05
     BC_COffDiag(75)       0.713259098081D+00       0.704033279638D+00      -0.534545987526D-05
     BC_COffDiag(76)       0.952758126983D+00       0.944693914969D+00      -0.468399536212D-05
     BC_COffDiag(77)       0.159059896500D+01       0.158453977666D+01      -0.352428933458D-05
     BC_COffDiag(78)       0.811499762193D+00       0.802790394867D+00      -0.505251088401D-05
     BC_COffDiag(79)       0.956075614844D+00       0.948025360603D+00      -0.467614061406D-05
     BC_COffDiag(80)       0.145881375555D+01       0.145242792395D+01      -0.371414867693D-05
     BC_COffDiag(81)       0.461308831037D+00       0.450401823960D+00      -0.628032933036D-05
     BC_COffDiag(82)       0.280688440403D+01       0.280275977125D+01      -0.239516866032D-05
     BC_COffDiag(83)       0.277862252550D+01       0.277447070519D+01      -0.241326383376D-05
     BC_COffDiag(84)       0.156556517069D+01       0.155944656604D+01      -0.355899166433D-05
     BC_COffDiag(85)       0.158077669383D+01       0.157469433121D+01      -0.353779695552D-05
                  LValue0       0.161820138246D+02
                   LValue       0.144091665634D+02
