           Var. Name                       x0                        x                 Gradient
         BC_beta(09)       0.400060349693D+01       0.400060349693D+01       0.679384555377D-03
         BC_beta(10)      -0.124797999881D+01      -0.124797999881D+01      -0.262342117152D-01
         BC_beta(11)       0.499905132389D+01       0.499905132389D+01       0.501864877355D-03
         BC_beta(12)       0.499905057046D+01       0.499905057046D+01      -0.115078447792D-06
         BC_beta(13)       0.403394327401D+00       0.403394327401D+00       0.138000128165D+00
         BC_beta(14)       0.120777022758D+01       0.120777022758D+01      -0.402040535775D-01
         BC_beta(15)      -0.562082116961D+00      -0.562082116961D+00       0.281454477062D+00
         BC_beta(16)       0.119529678397D+00       0.119529678397D+00       0.404140886911D-01
         BC_beta(17)       0.138288618685D+00       0.138288618685D+00      -0.306871663678D+00
         BC_beta(18)       0.718256447259D-01       0.718256447259D-01       0.342719211637D+01
         BC_beta(19)      -0.887084775076D+00      -0.887084775076D+00      -0.764788192764D+01
         BC_beta(20)       0.144041278511D+01       0.144041278511D+01      -0.762814526090D-01
         BC_beta(21)       0.651372303793D+00       0.651372303793D+00       0.733175936194D+00
         BC_beta(22)       0.168568473719D+01       0.168568473719D+01       0.794678554777D-02
         BC_beta(23)       0.105527253033D+01       0.105527253033D+01      -0.137235257238D+01
         BC_beta(24)      -0.909274854412D+00      -0.909274854412D+00      -0.786100669876D+00
         BC_beta(25)       0.128462488268D+01       0.128462488268D+01       0.351411290064D-01
         BC_beta(26)       0.829372836600D+00       0.829372836600D+00      -0.109247594395D+01
         BC_beta(27)       0.242229545720D+01       0.242229545720D+01       0.370947337057D-01
         BC_beta(28)      -0.183627205182D+01      -0.183627205182D+01       0.824615610110D-02
         BC_beta(29)       0.192715838256D+00       0.192715838256D+00       0.441259325907D-01
         BC_beta(30)       0.934213896050D+00       0.934213896050D+00       0.143072618377D+00
         BC_beta(31)      -0.204745895119D+01      -0.204745895119D+01      -0.176694729990D-01
         BC_beta(32)       0.325746742300D+01       0.325746742300D+01       0.427692854196D-03
         BC_beta(33)       0.374691523838D+01       0.374691523838D+01      -0.415720362172D-03
         BC_beta(34)      -0.162812676700D+00      -0.162812676700D+00      -0.482159041607D-02
         BC_beta(35)       0.948718594410D+00       0.948718594410D+00       0.170154462454D+00
         BC_beta(36)      -0.947651811261D+00      -0.947651811261D+00      -0.372352982035D-01
         BC_beta(37)       0.795033168555D+00       0.795033168555D+00      -0.243427644878D-01
         BC_beta(38)      -0.181117453279D+00      -0.181117453279D+00       0.603132262599D-01
         BC_beta(39)       0.129847198289D+01       0.129847198289D+01       0.865570214870D-02
         BC_beta(40)       0.266367983295D+01       0.266367983295D+01      -0.224940479541D-02
         BC_beta(41)      -0.688280179487D+00      -0.688280179487D+00      -0.186325500726D-01
         BC_beta(42)       0.269734417420D-01       0.269734417420D-01       0.540099048700D-01
         BC_beta(43)       0.133938669722D+01       0.133938669722D+01      -0.330358932835D-02
