            Variable                     Coef                 Gradient                     s.e.
 BC_CDiag40            9.9856963971367130E-01   2.1329403103033519E-03   2.4006209300274289E-01
 BC_CDiag41            9.9844959826274748E-01  -1.7779852084394906E-02   1.8574778920296662E-02
 BC_CDiag42            6.9278529908047082E-01  -3.5414119857896643E-02   4.5234788483432143E-03
 BC_CDiag43            9.9856147802978446E-01  -3.4627108792296846E-05   5.6497674805472593E+02
 BC_CDiag44            9.9847544703767510E-01   1.0250379995325699E-03   7.2234107464739864E+01
 BC_CDiag45            9.9860776149661024E-01   1.4118350420523734E-02   2.3108039023585818E+01
 BC_CDiag46            9.9905087340425180E-01   9.5446180198873146E-02   1.3300472460461108E+01
 BC_CDiag47            9.9891032763729748E-01   1.2702295915657610E-01   9.8785600748753973E-03
 BC_CDiag48            9.9540122653354790E-01   5.7519287661317323E-02   1.5224681734747270E-02
 BC_CDiag49            9.9860798399303274E-01   1.0491046637754801E-02   8.2115443437547914E-03
 BC_CDiag50            6.8651540724781546E-01   8.5475541540538408E-02   6.3205727471408032E-03
 BC_CDiag51            8.9815156048544065E-01   6.9337181067560668E-03   1.4598074706184133E-02
 BC_CDiag52            9.9440000867214640E-01   2.1704562143931523E-02   5.9352152305575745E-03
 BC_CDiag53            5.3652306873811828E-01  -1.6414919827912893E+00   5.0521214863444141E-03
 BC_CDiag54            4.6391073356964729E-01   1.9810426408023379E-01   2.5993162890469742E-03
 BC_CDiag55            6.8317513973196387E-01  -1.2802923709271609E-02   5.1168520224519898E-03
 BC_CDiag56            7.2217448572678233E-01  -3.7467616276383159E-01   7.7907449516264726E-03
 BC_CDiag57            5.8120591492070084E-01  -1.7336891487831393E-01   3.9467658006574549E-03
 BC_CDiag58            5.2158736932625693E-01   3.8414946150138185E-02   1.7460127919501813E-03
 BC_CDiag59            7.9197447796173170E-01   1.1289948658697655E-02   1.1716348328546804E-02
 BC_CDiag60            9.9881014189027162E-01   2.8480496761307029E-02   4.3177271134090478E-02
 BC_CDiag61            5.1743718250331405E-01  -4.1232579736045397E-02   4.4186256904790834E-03
 BC_CDiag62            5.3278912372232057E-01  -1.2917195566538442E-01   1.9033365880394815E-03
 BC_CDiag63            9.9856049236632960E-01   3.1801058705628260E-06   6.6458169432356999E+03
 BC_CDiag64            9.9855247697280725E-01  -4.7595559960245774E-03   4.3572941090014583E-02
 BC_CDiag65            9.9856363899939160E-01  -3.6815782399801725E-03   1.0699354597761417E+00
 BC_CDiag66            1.3912350548767945E-02   5.8024363948222007E-06   1.6702320209649528E+01
 BC_CDiag67            5.0149020553619628E-01  -9.3628571025142940E-06   4.7301089284865910E+01
 BC_CDiag68            9.9856050218046488E-01  -3.9664904438794048E-07   1.8637056219786653E+04
 BC_CDiag69            9.9856051779268240E-01   6.8604746748703357E-06   7.4020442953668999E+03
 BC_CDiag70            9.8287942164646411E-02  -4.9440913224389455E-09   1.2320543419684072E+03
 BC_CDiag71            9.9856842892353503E-01  -1.3041831260243819E-04   3.5637519400805458E-02
 BC_CDiag72            4.4935734745144013E-01   1.5566656575134796E-02   3.4045108955752081E-03
 BC_CDiag73            5.9673181457697999E-01   2.1871206421642784E-02   8.9506487014918614E-03
 BC_CDiag74            2.4258267022585492E-01   2.5994746690994563E-02   3.1333500441346664E-03
 BC_CDiag75            3.6805647968562838E-01  -2.4748107330709637E+00   2.2644617393766473E-03
 BC_CDiag76            6.6430014460272657E-01  -2.9078893472297813E-02   1.6680013068156641E-02
 BC_CDiag77            5.3564200293392383E-01  -2.6227843558292091E-01   2.5082964079932799E-03
 BC_CDiag78            5.4935633198521516E-01  -4.7297955158756233E-02   1.3645874612315482E-03
 BC_CDiag79            6.3552097954938158E-01  -5.8693920073019129E-02   4.9341323532903908E-03
 BC_CDiag80            5.1165767763684089E-01  -2.3897331028773061E-02   5.6498747479975017E-03
 BC_CDiag81            5.0148707050361940E-01  -6.6839520207929168E-04   6.9832331860481289E-01
 BC_CDiag82            6.4238420752945746E-01   4.7037869040118946E-03   3.9911302097154124E-03
 BC_CDiag83            5.3275654497249914E-01  -1.1176103492287757E-02   2.8245993691850962E-03
 BC_CDiag84            6.7564114074406889E-01   3.6824086104651849E-02   5.1038244632570324E-03
 BC_CDiag85            5.4667150884403914E-01  -6.7054763111582552E-02   3.5823427002604031E-03
 BC_CDiag86            7.5534548821341330E-01   8.3447491619082577E-04   3.0350835660549525E-03
 BC_CDiag87            9.8747908981130739E-01   3.5104159465805046E-04   5.4175122147890276E-01
 BC_CDiag88            9.9950388848131921E-01  -9.3839689234018094E-03   2.5031432879115748E-02
 BC_CDiag89            9.9855795669130576E-01   3.8125007377730609E-03   7.0083410452360184E-01
 BC_CDiag90            9.9854911721898443E-01   5.5892232003531173E-04   2.6170816768776226E-02
 BC_CDiag91            9.9857313325165720E-01   3.1989723453420878E-03   2.4015694065396787E+00
 BC_CDiag92            9.9858709809781687E-01   9.3639331273620563E-03   1.7066099094247492E-01
 BC_CDiag93            2.2586218284022302E-01   8.4322006291872900E-06   5.7920866060329836E+01
 BC_CDiag94            9.9242331859919342E-01   9.2150904588701229E-03   9.6213526669353053E-02
 BC_CDiag95            6.4930619212284313E-01   8.1352463182796046E-03   4.4625467790896572E-01
 BC_CDiag96            9.9856427373631551E-01   1.3367520099259913E-03   6.1152480954431189E-02
 BC_CDiag97            9.9854956946143214E-01  -4.5496798248308825E-03   4.5997293160761421E-01
 BC_CDiag98            9.9854793209574999E-01  -1.5920726901437057E-02   2.4171335380532649E-02
BC_COffDi01            1.6321115443109793E+00  -2.1552957943573303E+00   2.5548315386314398E-03
BC_COffDi02            2.8143860206008999E+00  -1.5215998711797576E+01   2.6281206600443492E-06
BC_COffDi03            2.7976047398049597E+00   2.4860838784963782E-01   2.1635360596436830E-03
BC_COffDi04            1.4944316464318328E+00  -2.4736005679390133E-02   5.8913505982215583E-03
BC_COffDi05            1.0266173540774373E+00  -1.9742862956714087E+00   1.0682566902442947E-03
BC_COffDi06            8.8685852060150061E-01  -1.0877228109985252E-03   7.1050245724955441E-02
BC_COffDi07            2.8266250158446655E+00   7.2085449084608363E-06   5.0963078207124424E+00
BC_COffDi08            1.8292635362348693E+00  -4.5063760144585362E-03   6.7506592960370926E-02
BC_COffDi09            2.4789273430517800E+00   3.1970133921131938E-01   6.3320890044443910E-03
BC_COffDi10            1.8291718451350676E+00   1.3522339214927481E-05   1.8091303273855406E+01
BC_COffDi11            1.7377627403521432E+00   3.9497745580596412E-07   9.8521037128391060E+02
BC_COffDi12            2.0115882837779284E+00   4.9609635132971848E-04   3.1261961738688622E-02
BC_COffDi13            1.3163022300431584E+00  -6.2557517722626758E-04   4.0205658762519594E-02
BC_COffDi14            2.6979717824241911E+00  -9.0767529082655396E-03   2.6110012238860425E-03
BC_COffDi15            5.4038812957057436E-01  -2.0452379735826903E-01   3.6964943761251270E-03
BC_COffDi16            2.1912476960500578E+00  -2.8802792846602181E-02   2.8649131049001968E-03
BC_COffDi17            2.2251976670198244E+00   2.1081097028512072E-01   1.1117037664288005E-03
BC_COffDi18            1.4237278254409542E+00   1.6454122917244510E-01   3.1491932587733385E-03
BC_COffDi19            2.1253266131703783E+00  -1.0492178626428399E+00   2.6853039726978255E-03
BC_COffDi20            2.3054761857296402E+00  -2.1659080441207268E-01   2.4503845368967821E-03
BC_COffDi21            1.2745324224916919E+00  -7.3940745425773502E-02   4.2558953029093859E-03
BC_COffDi22            2.7958545498884169E+00  -7.9409483670753091E-03   3.8053258288300107E-03
BC_COffDi23            2.7904324934085287E+00  -2.8636541454360401E-03   6.9307305062699066E-03
BC_COffDi24            1.3534124089406325E+00   3.0564863053154152E-02   1.3141551498742967E-02
BC_COffDi25            2.4550657421559992E+00  -5.4015963478992166E-02   5.0262078354530457E-03
BC_COffDi26            1.1558816797885039E+00   4.3168824910363673E-07   4.8954113155455480E+02
BC_COffDi27            9.7650273465493187E-01  -2.2649709632508888E+00   3.8347428795519676E-04
BC_COffDi28            1.8710056468509944E+00   4.0380059168469949E-03   2.4464949492208447E-02
BC_COffDi29            1.9781578059074305E+00   1.4866893930616311E-02   7.1713361796690561E-03
BC_COffDi30            2.8273060858712786E+00   6.2768238511589206E-02   3.9605155193515266E-03
BC_COffDi31            2.8272956949640573E+00   2.2699729960058308E-04   5.6729146386151097E-01
BC_COffDi32            1.4870539141315815E+00  -2.1829158581532712E-04   1.9891658117907283E+00
BC_COffDi33            2.8235938619196368E+00  -1.0369208972732352E-01   3.5321497366148326E-03
BC_COffDi34            5.9688841383763354E+00   8.2276896878111708E-06   2.4669502847814073E+01
BC_COffDi35            8.5074703293094245E-01  -6.1260410839644262E-03   2.4959766549780760E-02
BC_COffDi36            1.8861191274582865E+00  -1.8213567090803210E-03   2.7128735538401325E-02
BC_COffDi37            1.1132118954298353E+00   1.3571643243276083E-01   2.5335578373781717E-03
BC_COffDi38            2.8272346270408688E+00  -1.3217617715489564E-02   2.9110723584482780E-02
BC_COffDi39            2.8272962234956767E+00   2.1657861156854827E-03   8.2951251268575610E-02
BC_COffDi40            8.4766136551646720E-01   1.5876004203515842E-02   1.3288362607905745E-02
BC_COffDi41            1.8282771351352962E+00  -1.6197399534724891E-03   1.0106955374611761E-02
BC_COffDi42            1.9401767157704999E+00   4.0582400747650633E-04   5.1238689634437549E+02
BC_COffDi43            2.8272946081205790E+00   4.7028351019771548E-03   2.4957745718652983E+01
BC_COffDi44            2.8273123151383817E+00   8.6525260882056292E-03   9.0105977853443111E+00
BC_COffDi45            2.8181230903627168E+00   6.5701355407807763E-02   4.5633462413891959E+00
BC_COffDi46            1.9171321882805459E+00   2.4129117706187448E-03   1.5211190438384755E-02
BC_COffDi47            2.8257642995485912E+00  -5.6161507578241024E-02   9.0591799403588226E-03
BC_COffDi48            2.0474100537140583E+00   1.2938167441218032E-01   5.7693820910667904E-03
